"Story","Title","Result","Date","Stability","Duration (s)"
"Virgin games roxor test","This will verify pot name by it's id","SUCCESS","2023-06-18T08:01:10.490+01:00[Europe/London]","0.0","5.31"
"Virgin games roxor test","This will verify total number of the records","SUCCESS","2023-06-18T08:01:16.039+01:00[Europe/London]","0.0","0.54"
"Virgin games roxor test","This will get all the information about all Pots","SUCCESS","2023-06-18T08:01:16.577+01:00[Europe/London]","0.0","0.66"
"Virgin games roxor test","This will get all the information about Pots where currency is EUR","SUCCESS","2023-06-18T08:01:17.239+01:00[Europe/London]","0.0","0.19"
"Virgin games roxor test","This will get all the information about Pots where currency is GBP","SUCCESS","2023-06-18T08:01:17.427+01:00[Europe/London]","0.0","0.15"
"Virgin games roxor test","This will get all the information about Pots where currency is SEK","SUCCESS","2023-06-18T08:01:17.579+01:00[Europe/London]","0.0","0.19"
"Testing different request on the virgin games API","Check if the virgin game application can be accessed by users","SUCCESS","2023-06-18T08:01:10.634+01:00[Europe/London]","0.0","5.04"
"Testing different request on the virgin games API","Display all the records with currency GBP","SUCCESS","2023-06-18T08:01:17.784+01:00[Europe/London]","0.0","0.18"
"Testing different request on the virgin games API","Display all the records with currency EUR","SUCCESS","2023-06-18T08:01:18.100+01:00[Europe/London]","0.0","0.13"
"Testing different request on the virgin games API","Display all the records with currency SEK","SUCCESS","2023-06-18T08:01:18.280+01:00[Europe/London]","0.0","0.13"
"Testing different request on the virgin games API","Verify pots id = ""bouncy_bubbles_id"" and name = ""play-bouncy-bubbles""","SUCCESS","2023-06-18T08:01:18.446+01:00[Europe/London]","0.0","1.13"
"Testing different request on the virgin games API","Verify total number of records are 43","SUCCESS","2023-06-18T08:01:19.632+01:00[Europe/London]","0.0","0.54"
